loop-location,loop-absolute-size,loop-iterator-size,loop-payload-fraction,loop-proper-sccs-number,loop-proper-sccs-ddg-number,loop-proper-sccs-mdg-number,loop-critical-payload-fraction,loop-depth,loop-inner-loop-num,iterator-payload-total-cohesion,iterator-payload-non-cf-cohesion,iterator-payload-mem-cohesion,critical-payload-total-cohesion,critical-payload-non-cf-cohesion,critical-payload-mem-cohesion,iterator-total-dependencies-number,iterator-true-dependencies-number,iterator-anti-dependencies-number,iterator-output-dependencies-number,iterator-cross-dependencies-number,iterator-conf-dependencies-number,iterator-reg-dependencies-number,iterator-mem-dependencies-number,iterator-cntl-dependencies-number,payload-total-dependencies-number,payload-true-dependencies-number,payload-anti-dependencies-number,payload-output-dependencies-number,payload-cross-dependencies-number,payload-conf-dependencies-number,payload-reg-dependencies-number,payload-mem-dependencies-number,payload-cntl-dependencies-number,critical-payload-total-dependencies-number,critical-payload-true-dependencies-number,critical-payload-anti-dependencies-number,critical-payload-output-dependencies-number,critical-payload-cross-dependencies-number,critical-payload-conf-dependencies-number,critical-payload-reg-dependencies-number,critical-payload-mem-dependencies-number,critical-payload-cntl-dependencies-number,iterator-mem-write-count,iterator-mem-write-fraction,iterator-mem-read-count,iterator-mem-read-fraction,iterator-call-count,iterator-call-fraction,iterator-branch-count,iterator-branch-fraction,iterator-getelemptr-count,iterator-getelemptr-fraction,payload-mem-write-count,payload-mem-write-fraction,payload-mem-read-count,payload-mem-read-fraction,payload-call-count,payload-call-fraction,payload-branch-count,payload-branch-fraction,payload-getelemptr-count,payload-getelemptr-fraction,critical-payload-mem-write-count,critical-payload-mem-write-fraction,critical-payload-mem-read-count,critical-payload-mem-read-fraction,critical-payload-call-count,critical-payload-call-fraction,critical-payload-branch-count,critical-payload-branch-fraction,critical-payload-getelemptr-count,critical-payload-getelemptr-fraction
benchmarks/snu-npb/nauseous/BT/src/add.c(45),84,5,0.9405,1,0,0,0.4177,1,3,0.06373,0.004902,0.004902,0.2747,0.05495,0.01099,9,4,0,0,0,0,4,0,5,182,73,18,11,0,0,57,45,80,93,28,16,9,0,0,16,37,37,0,0,2,0.4,0,0,1,0.2,0,0,8,0.1013,23,0.2911,0,0,14,0.1772,12,0.1519,6,0.1818,16,0.4848,0,0,3,0.2,0,0
benchmarks/snu-npb/nauseous/BT/src/add.c(46),72,5,0.9306,2,0,0,0.209,2,2,0.07738,0.005952,0.005952,0.3562,0.0411,0.0274,9,4,0,0,0,0,4,0,5,146,62,13,8,0,0,51,32,63,32,12,4,3,0,0,8,11,11,0,0,2,0.4,0,0,1,0.2,0,0,6,0.08955,20,0.2985,0,0,10,0.1493,12,0.1791,2,0.1429,6,0.4286,0,0,2,0.2,0,0
benchmarks/snu-npb/nauseous/BT/src/add.c(47),60,12,0.8,0,0,0,0,3,1,0.4015,0.03788,0.0303,0,0,0,27,9,2,1,0,0,8,4,15,52,43,5,4,0,0,40,12,0,0,0,0,0,0,0,0,0,0,1,0.08333,5,0.4167,0,0,2,0.1667,0,0,3,0.0625,14,0.2917,0,0,5,0.1042,12,0.25,0,0,0,0,0,0,0,0.1667,0,0
benchmarks/snu-npb/nauseous/BT/src/add.c(48),48,8,0.8333,0,0,0,0,4,0,0.4388,0.03061,0.0102,0,0,0,17,6,2,1,0,0,4,5,8,38,37,0,1,0,0,37,1,0,0,0,0,0,0,0,0,0,0,1,0.125,4,0.5,0,0,1,0.125,0,0,1,0.025,12,0.3,0,0,2,0.05,12,0.3,0,0,0,0,0,0,0,0.125,0,0
benchmarks/snu-npb/nauseous/BT/src/bt.c(218),91,6,0.9341,1,0,0,0.09412,1,0,0.125,0.02778,0.02778,0.2045,0.1591,0.125,13,6,0,1,0,0,4,3,6,176,87,15,10,0,0,66,46,64,20,10,4,6,0,0,2,18,18,1,0.1667,2,0.3333,0,0,1,0.1667,0,0,9,0.1059,37,0.4353,5,0.05882,10,0.1176,12,0.1412,3,0.375,4,0.5,0,0,0,0.1667,0,0
benchmarks/snu-npb/nauseous/BT/src/bt.c(212),14,6,0.5714,0,0,0,0,1,0,0.3448,0.06897,0.06897,0,0,0,13,6,0,1,0,0,4,3,6,6,5,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,1,0.1667,2,0.3333,0,0,1,0.1667,0,0,2,0.25,3,0.375,1,0.125,2,0.25,1,0.125,0,0,0,0,0,0,0,0.1667,0,0
benchmarks/snu-npb/nauseous/BT/src/bt.c(180),20,7,0.65,0,0,0,0,1,0,0.25,0.075,0.075,0,0,0,15,7,0,1,0,0,5,3,7,15,6,0,0,0,0,6,0,9,0,0,0,0,0,0,0,0,0,1,0.1429,3,0.4286,0,0,1,0.1429,0,0,2,0.1538,5,0.3846,2,0.1538,5,0.3846,0,0,0,0,0,0,0,0,0,0.1429,0,0
benchmarks/snu-npb/nauseous/BT/src/bt.c(175),10,6,0.4,0,0,0,0,1,0,0.2632,0.05263,0.05263,0,0,0,13,6,0,1,0,0,4,3,6,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.1667,2,0.3333,0,0,1,0.1667,0,0,1,0.25,2,0.5,1,0.25,2,0.5,0,0,0,0,0,0,0,0,0,0.1667,0,0
benchmarks/snu-npb/nauseous/BT/src/bt.c(161),10,6,0.4,0,0,0,0,1,0,0.2632,0.05263,0.05263,0,0,0,13,6,0,1,0,0,4,3,6,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.1667,2,0.3333,0,0,1,0.1667,0,0,1,0.25,2,0.5,1,0.25,2,0.5,0,0,0,0,0,0,0,0,0,0.1667,0,0
benchmarks/snu-npb/nauseous/BT/src/bt.c(133),5,4,0.2,0,0,0,0,1,0,0.125,0,0,0,0,0,7,3,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.25,2,0.5,1,0.25,1,0.25,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.25,0,0
